#ID               Station ID
#LAT              Latitude (NAD27, decimal degrees)
#LONG             Longitude (NAD27, decimal degrees)
#UTM10x_NAD83     Easting (NAD83 Zone 10N, meters)
#UTM10y_NAD83     Northing (NAD83 Zone 10N, meters)
#ELEV_m           Elevation (NGVD29, meters)
#CBA              Complete Bouger Anomaly (mGal)
#ISO              Isostatic Anomaly (mGal)
#OG               Observed Gravity (mGal)
#FTC              Field Terrain Correction (calculated out to 68m from station, mGal)
#TTC              Total Terrain Correction (calculated from 68m to 166.7km from station, mGal)

ID,LAT,LONG,UTM10x_NAD83,UTM10y_NAD83,ELEV_M,CBA,ISO,OG,FTC,TTC
19GY2588,39.17345483,-122.87339733,510842.425,4336018.578,429.750,-43.847,-2.197,979964.537,0.000,3.210
19GY2589,39.15989433,-122.86462767,511602.215,4334514.831,436.920,-41.124,-0.024,979962.958,0.020,4.910
19GY2590,39.08655167,-122.90130667,508442.033,4326371.793,406.010,-34.379,2.471,979973.072,0.010,1.090
19GY2591,39.07022617,-122.78142933,518814.419,4324578.238,405.780,-37.741,-0.121,979966.249,0.030,3.150
19GY2592,39.02766483,-122.66306817,529071.190,4319886.469,409.690,-38.651,-2.941,979961.829,0.020,2.130
19GY2593,39.01915283,-122.67042783,528437.553,4318939.559,404.430,-37.604,-2.184,979964.011,0.020,1.270
19GY2594,39.03821167,-122.74442767,522025.368,4321033.922,415.000,-36.848,-0.498,979962.008,0.040,3.650
19GY2595,39.12090983,-122.77518933,519340.316,4330203.979,1080.970,-43.085,-3.595,979828.370,0.080,8.070
19GY2596,39.10405417,-122.75953833,520698.246,4328336.947,962.810,-41.928,-3.088,979853.541,0.050,5.700
19GY2597,39.13447867,-122.77565267,519296.541,4331709.639,1193.610,-43.643,-3.593,979807.070,0.030,7.950
19GY2598,39.15136767,-122.77087100,519705.090,4333584.878,1326.510,-43.995,-3.245,979778.873,0.030,11.250
19GY2599,39.16306300,-122.78261217,518687.432,4334880.241,1269.130,-44.902,-3.582,979792.906,0.030,8.590
19GY2600,39.14275400,-122.75072017,521448.940,4332633.590,1070.970,-42.902,-2.362,979832.836,0.120,7.680
19GY2601,39.17711867,-122.72781883,523416.635,4336452.809,643.700,-47.450,-5.080,979917.834,0.000,4.800
19GY2602,39.18564067,-122.71151117,524822.251,4337402.874,632.710,-46.720,-4.130,979921.669,0.010,4.600
