Numero ^ Tunnus ^ Osasto ^ Vuosi ^ Reikanro ^ Kl100 ^ Yht_X ^ Yht_Y ^ Kkj_X ^ Kkj_y ^ Z ^ Syvyys ^ Kaltevuus ^ Suunta
int ^ char ^ char ^ int ^ char ^ char ^ int ^ int ^ int ^ int ^ real ^ real ^ real ^ real
69 ^ M371484R308    ^ M ^ 84 ^ 308    ^ 3714 ^ 7513300 ^ 3497251 ^ 7513300 ^ 3497250 ^ 221.00 ^ 95.00 ^ 52.20 ^ 360.00
70 ^ M371487R309    ^ M ^ 87 ^ 309    ^ 3714 ^ 7511400 ^ 3499081 ^ 7511400 ^ 3499080 ^ 234.00 ^ 0.00 ^ 45.80 ^ 90.00
71 ^ M371487R309    ^ M ^ 87 ^ 309    ^ 3714 ^ 7511400 ^ 3499081 ^ 7511400 ^ 3499080 ^ 234.00 ^ 10.00 ^ 45.70 ^ 90.00
72 ^ M371487R309    ^ M ^ 87 ^ 309    ^ 3714 ^ 7511400 ^ 3499081 ^ 7511400 ^ 3499080 ^ 234.00 ^ 20.00 ^ 45.40 ^ 90.00
73 ^ M371487R309    ^ M ^ 87 ^ 309    ^ 3714 ^ 7511400 ^ 3499081 ^ 7511400 ^ 3499080 ^ 234.00 ^ 30.00 ^ 45.20 ^ 90.00
74 ^ M371487R309    ^ M ^ 87 ^ 309    ^ 3714 ^ 7511400 ^ 3499081 ^ 7511400 ^ 3499080 ^ 234.00 ^ 40.00 ^ 45.20 ^ 90.00
75 ^ M371487R309    ^ M ^ 87 ^ 309    ^ 3714 ^ 7511400 ^ 3499081 ^ 7511400 ^ 3499080 ^ 234.00 ^ 50.00 ^ 45.00 ^ 90.00
76 ^ M371487R309    ^ M ^ 87 ^ 309    ^ 3714 ^ 7511400 ^ 3499081 ^ 7511400 ^ 3499080 ^ 234.00 ^ 60.90 ^ 45.00 ^ 90.00
77 ^ M371487R310    ^ M ^ 87 ^ 310    ^ 3714 ^ 7511400 ^ 3499002 ^ 7511400 ^ 3499001 ^ 237.00 ^ 0.00 ^ 45.10 ^ 90.00
78 ^ M371487R310    ^ M ^ 87 ^ 310    ^ 3714 ^ 7511400 ^ 3499002 ^ 7511400 ^ 3499001 ^ 237.00 ^ 10.00 ^ 45.10 ^ 90.00
79 ^ M371487R310    ^ M ^ 87 ^ 310    ^ 3714 ^ 7511400 ^ 3499002 ^ 7511400 ^ 3499001 ^ 237.00 ^ 20.00 ^ 44.90 ^ 90.00
80 ^ M371487R310    ^ M ^ 87 ^ 310    ^ 3714 ^ 7511400 ^ 3499002 ^ 7511400 ^ 3499001 ^ 237.00 ^ 30.00 ^ 44.80 ^ 90.00
81 ^ M371487R310    ^ M ^ 87 ^ 310    ^ 3714 ^ 7511400 ^ 3499002 ^ 7511400 ^ 3499001 ^ 237.00 ^ 40.00 ^ 44.60 ^ 90.00
82 ^ M371487R310    ^ M ^ 87 ^ 310    ^ 3714 ^ 7511400 ^ 3499002 ^ 7511400 ^ 3499001 ^ 237.00 ^ 50.00 ^ 44.50 ^ 90.00
83 ^ M371487R310    ^ M ^ 87 ^ 310    ^ 3714 ^ 7511400 ^ 3499002 ^ 7511400 ^ 3499001 ^ 237.00 ^ 60.00 ^ 44.50 ^ 90.00
